Page Number,Layer Title,Cue Number,Label,Work Note
"7","Audio","1","Dramatic intro music",""
"7","Audio","5","Battle music",""
"7","Audio","6","Kobalds fight",""
"7","Audio","7","Kobalds scream",""
"7","Audio","8","Agnes music",""
"7","Lights","1","House open",""
"7","Lights","5","Curtain speech",""
"7","Lights","10","TOS - Lightning",""
"7","Lights","11","Focus: Narrator: SR tower",""
"7","Lights","12","Lightning",""
"7","Lights","13","Backlight cave",""
"7","Lights","14","Focus C: Tilly",""
"7","Lights","15","Fight Kobalds",""
"7","Lights","16","Focus Narrator",""
"7","Lights","17","Focus SL: Agnes @ home",""
"7","Sound","0.1","Narrator, dramatic FX",""
"7","Video","1","Preshow",""
"7","Video","9","Fade out Preshow",""
"7","Video","10","Dramatic video fx",""
"7","Video","11","Map: Ohio",""
"7","Video","12","Horde of Kobalds",""
"7","Video","13","Hordes attack",""
"7","Video","14","Dead bodies",""
"8","Audio","9","Music crescendo",""
"8","Audio","10","Big dramatic build",""
"8","Audio","11","Ace of Bass",""
"8","Audio","12","Stereo smashing sound",""
"8","Lights","18","Tilly + Agnes",""
"8","Lights","19","Narrator",""
"8","Lights","20","Focus Stereo",""
"8","Lights","21","Explosion",""
"8","Lights","23","Agnes transforms",""
"8","Sound","0.2","Tilly / Agnes, out Narrator",""
"8","Sound","0.3","Narrator, out Tilly, Agnes",""
"8","Sound","0.4","Tilly",""
"8","Sound","0.5","mute Tilly",""
"8","Video","15","Sparks, smoke",""
"8","Video","17","Agnes transforms into cheerleader",""
"9","Audio","15","Bike bell",""
"9","Audio","16","Car crash",""
"9","Audio","19","Epic title music",""
"9","Lights","24","Focus SL: Agnes",""
"9","Lights","25","Fade out Tilly, then Agens",""
"9","Lights","26","Fade to black",""
"9","Lights","27","Narrator",""
"9","Lights","29","Blackout",""
"9","Sound","0.6","Agnes: FX",""
"9","Sound","0.7","mute Agnes",""
"9","Sound","0.9","mute Narrator",""
"9","Video","18","Tilly fighting monsters",""
"9","Video","19","""I wish I didn't have such a geeky sister!!!""",""
"9","Video","20","Tilly on bike - car crash",""
"9","Video","22","Title card",""
"10","Lights","30","Gaming store, C",""
"10","Sound","1","Chuck",""
"10","Sound","1.1","Agnes",""
"10","Video","25","""One Year Later...""",""
"12","Lights","34","Blackout",""
"12","Sound","1.9","mute Agnes, Chuck",""
"13","Lights","35","Outside",""
"13","Sound","2","Miles, Vera, Agnes",""
"14","Lights","39","Blackout",""
"14","Sound","2.8","mute Agnes",""
"14","Sound","2.9","mute Miles, Vera",""
"15","Audio","20","Dramatic entrance music",""
"15","Audio","21","Quiet, mystic music",""
"15","Audio","22","Ocean",""
"15","Audio","23","Forest",""
"15","Lights","40","Game shop",""
"15","Lights","41","Dramatic Game entrance",""
"15","Lights","42","Lighning",""
"15","Lights","43","Transform: Mystical beach/forest",""
"15","Lights","44","Stranger approaches",""
"15","Sound","3","Agnes",""
"15","Sound","3.1","Chuck: FX",""
"15","Video","30","Game shop",""
"15","Video","35","Black",""
"15","Video","36","Mystical beachside",""
"15","Video","37","Forest",""
"16","Audio","25","Hero music",""
"16","Lights","45","Tilly reveal",""
"16","Sound","3.2","Tilly, out Chuck",""
"16","Video","39","Tilly reveal",""
"17","Audio","30","Badass Matrix music",""
"17","Lights","46","Badass lights",""
"17","Lights","47","Lilith",""
"17","Video","40","Lilith character sheet",""
"18","Audio","31","Record scratch",""
"18","Lights","48","Kaliope",""
"18","Lights","49","Pause game",""
"18","Sound","3.3","Lilith",""
"18","Sound","3.4","Kaliope, out Lilith",""
"18","Sound","3.5","Chuck, mute Kaliope, Lilith, Tilly",""
"18","Video","41","Kaliope character sheet",""
"19","Audio","32","Back to epic music",""
"19","Audio","33","dramatic quest music",""
"19","Audio","35","Wraiths attack",""
"19","Lights","50","Back to game",""
"19","Lights","51","Focus Chuck",""
"19","Lights","52","Team photo",""
"19","Lights","53","Wraiths attack",""
"19","Lights","54","Back to game",""
"19","Sound","3.6","Tilly",""
"19","Sound","3.65","Chuck FX (booming)",""
"19","Sound","3.7","Kaliope, Lilith, Tilly, Agnes, Horde out Chuck",""
"19","Sound","3.8","out Horde",""
"19","Video","45","Tilly character sheet",""
"19","Video","47","Wraiths attack",""
"19","Video","48","Wraiths slain",""
"20","Audio","36","Dramatic underscoring",""
"20","Lights","55","Dramatic focus Tilly",""
"20","Video","50","Map to cave",""
"21","Audio","37","Epic weapon awe music",""
"21","Lights","56","Character building",""
"21","Lights","57","Epic blade FX",""
"21","Lights","57.5","out FX",""
"21","Video","51","Agnes character sheet",""
"22","Audio","38","Fellowship begins music",""
"22","Lights","58","Fellowship portrait",""
"22","Lights","59","Blackout",""
"22","Sound","3.9","out",""
"22","Video","54","Write: ""Agnes the Ass-hatted""",""
"23","Lights","60","Narrator",""
"23","Lights","61","Orcus FX",""
"23","Lights","62","out FX",""
"23","Lights","63","Orcus Cave",""
"23","Lights","64","They jump out",""
"23","Lights","65","Shhh",""
"23","Sound","4","Narrator",""
"23","Sound","4.01","FX: Orcus",""
"23","Sound","4.05","FX out",""
"23","Sound","4.1","Tilly, Orcus, Agnes, out Narrator",""
"23","Video","55","dark cave",""
"24","Audio","40","Steve fanfare",""
"24","Lights","66","Steve enters",""
"24","Lights","67","Steve leaves",""
"24","Sound","4.2","Steve",""
"24","Sound","4.25","out Steve",""
"25","Audio","42","Plot thickens sting",""
"25","Audio","44","Transition out of void",""
"25","Lights","69","Blackout",""
"25","Sound","4.9","out",""
"26","Lights","70","The Gap",""
"26","Sound","5","Vera, Agnes",""
"26","Sound","5.1","Steve",""
"26","Video","60","Gap",""
"27","Audio","46","Creepy ambient",""
"27","Audio","47","Big sub winddown",""
"27","Lights","74","Transition to game, pool of light for Agnes",""
"27","Sound","5.15","out Steve",""
"27","Sound","5.2","Chuck, out Vera",""
"27","Video","65","Black",""
"28","Audio","48","Bugbears scream",""
"28","Audio","50","Fight music",""
"28","Audio","51","Strike 1",""
"28","Lights","75","Bugbears attack",""
"28","Lights","76","Chuck",""
"28","Lights","77","Tilly",""
"28","Lights","78","Strike",""
"28","Sound","5.25","Tilly, Bugbear",""
"28","Video","66","Bugbears",""
"29","Audio","","Bugbear dies",""
"29","Audio","52","slash",""
"29","Audio","53","swish",""
"29","Audio","54","stab",""
"29","Audio","54.1","woosh",""
"29","Lights","79","Slash",""
"29","Lights","80","Impailed",""
"30","Audio","55","Impaled",""
"30","Audio","56","heartbeat",""
"30","Audio","57","Losing consciousness",""
"30","Audio","59","Collapse",""
"30","Audio","60","Magic healing",""
"30","Lights","81","Hit",""
"30","Lights","82","Dying",""
"30","Lights","83","Collapse",""
"30","Lights","84","Magic healing",""
"30","Lights","85","Revived",""
"30","Video","68","Magic healing",""
"31","Audio","61","Hard-hitting music",""
"31","Audio","62","Level up",""
"31","Lights","86","Strobe fight",""
"31","Lights","87","Victory",""
"31","Sound","5.5","Victory",""
"31","Sound","5.6","Lilith, Kaliope, Orcus",""
"31","Video","70","Badass fight",""
"31","Video","72","+1 Less of a dumbass",""
"32","Audio","65","film projector",""
"32","Audio","66","Dramatic exposition music",""
"32","Lights","88","Dim stage, focus Kaliope",""
"32","Lights","89","Focus Tilly",""
"32","Video","75","Tiamat stats",""
"33","Audio","67","Orcus map ding",""
"33","Audio","68","""GPS signal lost""",""
"33","Audio","69","Exposition music",""
"33","Lights","90","Dim stage, focus Orcus",""
"33","Video","76","Orcus Map: New Landia",""
"33","Video","77","3 Guardians of New Landia",""
"34","Audio","70","quiet exposition music",""
"34","Audio","71","Hopeful music",""
"34","Audio","72","Adventure music",""
"34","Lights","91","Back to game",""
"34","Lights","92","Dramatic focus Tilly",""
"34","Lights","93","out Stage, focus Narrator",""
"34","Sound","5.8","Narrator, out Agnes, Tilly, Likith, Kaliope, Orcus",""
"35","Audio","75","Mama Say Knock You Out",""
"35","Lights","95","90s Dance party",""
"35","Lights","97","Slow-mo",""
"35","Lights","99","Blackout",""
"36","Audio","80","Woods",""
"36","Audio","81","punch",""
"36","Lights","100","Enchanted woods",""
"36","Lights","102","punch",""
"36","Sound","6","Orcus, Farrah, Agnes",""
"36","Video","80","Woods",""
"37","Audio","82","Steve fanfare",""
"37","Audio","83","Gorey audio",""
"37","Lights","103","Steve enters",""
"37","Lights","104","Gore",""
"37","Lights","105","Steve dies",""
"37","Sound","6.2","Kaliope, Lilith, Tilly",""
"37","Sound","6.3","Steve",""
"38","Audio","84","Boxing ring audio",""
"38","Audio","85","Ding",""
"38","Audio","86","Fairy fight music",""
"38","Lights","106","Fight lights, focus Chuck",""
"38","Lights","107","Fairy Fight",""
"38","Sound","6.35","Orcus, Tilly, out Steve",""
"38","Sound","6.4","Chuck: Boss fight fx",""
"38","Sound","6.45","Fight",""
"39","Audio","87","Magic missile",""
"39","Audio","88","Faerie splat",""
"39","Audio","89","90s Transition music?",""
"39","Lights","108","Focus Chuck",""
"39","Lights","110","Magic Missile",""
"39","Lights","111","Explosion",""
"39","Lights","114","Blackout",""
"39","Sound","6.5","Chuck: Magic Missile",""
"39","Sound","6.6","Farrah: falling FX",""
"39","Sound","6.8","Agnes",""
"39","Sound","6.9","out",""
"39","Video","82","Magic Missile fireball",""
"40","Lights","115","Agnes's front step",""
"40","Sound","7","Miles, Chuck",""
"40","Video","85","Front step",""
"41","Sound","7.1","Agnes",""
"42","Audio","90","D&D Transition",""
"42","Lights","119","Transition to game",""
"42","Sound","7.2","out Miles",""
"42","Video","90","Transition to D&D",""
"43","Audio","91","Creepy ambient",""
"43","Audio","92","out",""
"43","Lights","120","Creepy",""
"43","Lights","121","Focus C",""
"43","Sound","8","Tilly, Agnes, Lilith",""
"44","Lights","122","Move S_",""
"44","Lights","123","Chuck",""
"44","Sound","8.1","out Lilith",""
"44","Sound","8.2","Chuck",""
"45","Audio","95","Back to game",""
"45","Audio","96","Explosion",""
"45","Audio","97","Impressive cheer number",""
"45","Lights","125","Back to game",""
"45","Lights","126","Focus party",""
"45","Lights","127","Explosion",""
"45","Lights","128","90s cheer dance",""
"45","Sound","8.3","Tilly: FX, out Chuck",""
"45","Sound","8.35","out FX",""
"45","Sound","8.4","Evil Gabbi, Evil Tina",""
"45","Video","92","Pyrotechnics",""
"46","Lights","129","They move C",""
"47","Sound","8.5","FX: dyke",""
"47","Sound","8.55","FX out",""
"47","Video","95","dyke",""
"48","Sound","8.6","Laughing fx",""
"49","Audio","99","Transition music",""
